5雅典娜澡堂洗澡！气到敌方投降！！！    正恒-许仙   98.7万
新主播.加粉丝群带飞    锁心   190
单排30冲51星橘神    星探、洋洋   189
上荣耀实战教学    “昨日夕阳今日醉   189
微信区傍一国服打野免费带粉    风趣   189
随便打打    SuperTZA   189
国服鬼谷子，双鞋双辅一闪流教学！！！！！    熊寶   189
我不狗    【豿子】920-兄弟连   188
WX带粉，血瓶上车加群    遥梦   188
赵云，韩信    少聪   187
小姐姐陪你玩，卡牌上车    勿念思过   187
喜欢的点一波订阅    方半仙   187
王者单排冲星    虎牙清风胡来   187
如果上分跟花钱一样容易就好了    咸鱼   186
微信区上分免费上车    虎牙混子   185
你好，易大师    Rc丶九头鸟   185
国服什么的都是过眼云烟、    撒浪嘿哟   185
典韦专场东北爷们见人就揍意识打野    少帅   185
粉丝的号 要不要来陪我一起浪峡谷啊    心之落寞   184
萌新求带!    阿龙   183
酒久直播免费带粉    虎牙-酒久   183
嗯？    唯爱小卤蛋   183
路过就是缘份，进去订阅一下呗    我是一颗小虎牙   183
先进来听歌吧 一会开干    雪魄   183
带粉娱乐 订阅免费上车冲冲冲    晨曦-北盖   183
第一马可波罗    小溪   183
农村最强韩信    Dae-武大郎   183
又是25连胜    墨颜-省哥   182
求订阅，王者局冲波分    冷诱依然   182
新主播李白帮粉上分。有粉丝群可进    橙子李白   182
单排上51星！    七匹狼c   181
单排订阅进群上车    尤若   181
婉儿的带不动主播    七命   181
来自大小姐的伤害    天使邪   181
刺客专属    幻舞   180
免费帮打，除了韩信还是韩信    拥抱   180
瞧瞧，这是人干的事吗    久帝-猫南北   180
免费带粉订阅    我是一颗小虎牙   180
孤独的上单    星点丶尧舜   179
加好友一起玩呀    草丛三婊   179
日常掉分    小白   179
野王带躺 血瓶上车带粉    虎牙陈冠希   178
血瓶上车 神级打野    千夏   178
我又回来啦😁    虎牙小白   178
没茅台    中国蓝丶听枫   178
摘星星    虎牙孤狼   177
闲来无事    老实人老王   177
带粉上分    东北小傻子   177
生病难受坚持直播的一天    虎牙小伤   177
以战止战吃鸡小分队    DK-逍遥   177
路人上车了    瘾   177
姜子牙无敌    DK-王灶灶   176
千场荣耀李白，带粉摘星星！    Tata-糖訫   176
在线摘星星    杨熊男兄🐻   175
小妲己和我    柠柠起不早   175
声优实力主播. 欢乐带粉.日常解忧.    行川-全能尚   175
微信区带粉帮打，需要的滴滴我    Yx昔耀   175
质量局后羿    虎牙TV瞬手   175
王者荣耀    孤独4314   175
上波王者再说    【君弦】小伟   175
微信区小号冲个荣耀    东辰-格子先生   174
全能混子，在线混分    枫夜   174
芈月教学！血瓶上车    情书   174
有上车的吗    壹佳-佳维吖   173
纹茫吕布入魂 单排请求出战    寒峰-小渣男   173
鲁班智商250不知道怎么死法    好   172
#王者荣耀#东北大叔的娱乐    草丛   172
区服橘子连胜上分了解一下？    虎牙TV子逸   171
新手主播 求订阅    虎牙盒子   170
无敌站撸小短腿    安妮的晓魏魏   169
来聊聊天    MADETOPGD   169
等一个大哥来宠我♥    西瓜   169
求订阅谢谢    星微辰-漠然   169
招聘辅助    虎牙香香   169
日常小仙女💋💋💋求带    王者   168
上分教学·带粉    东辰-飞飞   168
进来逼逼两句！    闲云、怪物   167
来啊，造作啊😋😋    失心one   167
就想玩边路李白    YM虎牙熊二   167
定阅一下吧    三生三世一世倾心   166
微信铂金砖石带粉中 来人一起冲王者    小伟   166
新赛季带粉丝安卓    三少   166
原味李白，订阅上车，带粉收徒！    桃花岛、原味   166
我是个坑    天啦个   164
俾D无意识猪队友激到爆炸    占屎   164
老号练废了，希望新号给点力    天缘丶杨在左   164
【上分首选法师—弈星】王者局实战    奕老湿   163
我第一次开直播，希望大家能喜欢    小学生   163
小姐姐带粉回青铜称霸全服    小燕儿   162
迷之露娜    聆柒   161
找一个辅助    雪无痕   161
欢迎来到尴尬直播间    将臣   161
秀不秀你们说的算    傲辰-九歌   161
全网唯一一个能打着游戏睡着的主播    宗艺-甜爆炸   159
开心就好    椰子霹雳无敌   158
韵女神最可爱。    墨无闻   157
百星边路直播带粉    狗辞   157
只会80个英雄的小主播，VX区带粉    风神   157
来来，上分喽    微影-南昆   157
小芳上分中    御神丶冥   156
看    情不自禁   156
大哥别打我！我错了    王者农药晟晟   156
我来啦    王者荣耀预判   155
宝贝儿🤔    久帝-H   154
王牌收割机    身似畫槍如掛   154
技术不行 全靠躺赢！！！    一二三四吴   153
宇宙阿轲95胜率，打单之路    可寒大叔   153
小姐姐当我房管不    梦白SUK   151
省5赵云带粉3排    小爽   151
求订阅支持    依然   150
夜深人静杀人时    念衫   150
单排，你今天自闭了吗？    看看不说话   148
上个荣耀    迦音-Dsprayer   147
狼毒花    狼毒花   147
❤️    泥泥酱   147
在线坑人    冥勒   147
单排后羿求狙击。    混世魔王   147
飞鸣直播打王者    我是一颗小虎牙   142
苦练韩信    A墨染   142
灭手第一人    我是一颗小虎牙   141
最强王者    柠檬酸   141
上分专场，订阅上车    虎牙灬荣少   140
在线坑队友（嘤嘤嘤）    闲鱼   140
国服干将教你对线边路    云图-苏老板   139
找个辅助小徒弟啊    我是一颗小虎牙   139
不怎么会 勿喷    小粽子   138
哈哈    王思聪   138
诸葛孔明    Bliss湿主   138
广西哥信仰木兰李白    My-鄙人张   138
三天冲王者    渝疯-空白   138
騒猪只带粉 订阅加群 免费帮上星    騒猪   138
订阅🌺卡牌～帮首胜奖励    阿晨招募优质主播   137
上个星耀吧。    七情   137
小号安排拉，订阅上车    SGG-晨风   136
灵活的煤气罐    三哥   136
帮粉丝上分    嗨鹏   134
小鲁班上王者带粉    小书包   134
来个大哥卡房管    林辞   128
百里玄策冲国服！    天迹-天赋   127
匹配路人单挑    虎牙霖哥哥   127
黄金段位求带。。。    Amn丶大蜘蛛   126
忘了他吧，我捡破烂养你    久帝-小囍   126
露娜专场    骚柚   126
关注主播一起上车！    颜少   125
王昭君、东皇直播被坑    Dx-豪情   125
通宵等个有缘人，带粉    盗心   124
订阅上车    国服顶尖路人   124
带粉上分    虎牙TV 小志   123
云中君·后裔无敌    名门-海龙   121
手Q 区深夜放毒！欢迎订阅，卡粉上车！    她总紫宫初雪   120
战队招小姐姐大佬。冲刺前3    烁神   118
我喜欢桃子味    虎牙大K   116
一起玩吧    麟   114
老年鸡太美    就到这吧   112
一闪诸葛在线带粉    满月新夜   111
指法韩信实力冲榜❤    虎牙、骚宇   111
全能选手，中单法王    浮云似梦   110
在线渣男带你掉分    正恒yj-积木   109
晚上好    鑫爷肚子痛   109
深夜摘星    讨饭夏   109
佛系主播，直播啥看心情（求订阅）    易意   105
菜鸡互啄    ace   103
最强婉儿    百世经纶   103
新主播订阅免费带粉    并集   103
q区的上车滴滴    Hy小鲁班   103
组队么咯上分的那种    凌坤   102
宝宝们上线了！    封茗囧菌   102
钻石上分上分    ❤〃Ying丶酒醉人心   101
段位不高，技术不行，人又不帅，简直是菜    太二真人   101
菜鸡主播随便喷    骚瑞   100
练习韩信中    统领-招募主播星探   100
求订阅    依依   100
【王者荣耀】峡谷躺赢 小伟 进    虎牙小伟   96
午夜专场    慕冷   95
边境吃鸡，排位    路人甲   94
收徒可以一起玩也可以免费帮玩    予你灾厄   94
礼不在多，上个榜就好    虎牙一莫邪   94
国服阿珂0.5秒瞬秒c 周末已自闭    蛋蛋   93
一起上分吗？    Hz丶渣渣辉   92
新手请多关照！欢迎上车，免费！    王者荣耀娱乐排位   91
多少刷点，吃土了😿    两年三月   91
锤妈了解一下    虎牙、北川   88
寻找能YY语音喜欢钢枪的队友    Yx9丶帅四   87
滴，滴，滴，快上车    私念   81
美食大师带你王者峡谷    正恒-798强哥   78
冲省级云中君    智某人   77
进群立刻免费上号帮打带粉    虎牙海草   64
国服太乙王者局41-51星淬炼    FC-焉逢   61
低段局，有要上车的吗?    豪视-团子   60
不要把暧昧当做是爱情٩(๛ ˘ ³˘)۶    咪柚   55
自鄙中    失去   48
欢迎来到林笙的直播间    林笙   46
三指，一闪二闪大闪    单挑魔王威总   44
虞姬    念剑残惜情歌索丶   43
欢迎来到岁月的直播间    岁月   42
有钻石星耀的老铁吗，进来我带你    东辰-挽风   40
单排冲国服云中君Q区带粉五排有车位    TTT-唐元明   37
练练迦罗    虎牙灬坑神   10
7000场老刘备在线教你t杀    Am、备爷   6
通宵帮粉丝单排上分    虎牙小渣男   5
实力带粉我来秀你扣6完事    迦音-笨笨熊   5
你把我想象的太厉害了    辣条   4
请投食    迦音-甜心樾   4
这个猴子喝多了……切切    斗战胜佛   3
排位练火舞    九清   2
养猪致富    虎牙Boss   2
全能王在线免费带粉打个荣耀，无敌中    毛哒哒   1
国服李白免费带粉    于晴   1
五排有人吗？钻石星耀    Rc怀里滴丶旋飞   1
无敌的我又来了    阿俊   1
星耀段切菜鸟    A生活只能体会不能享受   1
冲国服嫦娥    x宇丫   1
灵心如玉，守一生无惧♡    战神塔之小跟班   1
111    拉风航   1.7万
新手求关注    镇魂将   6032
微信带粉钻石星耀王者上车    依旧如故   5495
超甜小姐姐在线滴cp    喵喵   4890
国服后裔哈哈哈    厦门小书包   4409
单排上荣耀    葵青   3246
百星新主播，求关注    九   3139
瓢儿小仙女    吐噜吐噜瓢er   2854
虎牙新人主播在线直播守家    爱卿   2450
订阅一下 免费上车    甜甜   2283
每晚都帮粉丝位移一个段位    恭喜我这个B   2266
百星野王职业打野    虎牙如梦   2193
低星5排养猪/猪王带队    SAmms   1977
国服诸葛 深夜电台    2395626499yy   1878
最凶云中君参见    闲云丶土地公   1826
今天好听的声音小姐姐教伱我妲己可好    Agion丶魅儿   1620
快乐日常狄仁杰小号上分    请收好您家傻涵   1606
不知道你们想没想我我也不敢问也不敢说    温柔娇   1561
国服云中君请战！    是离愁   1508
国服第一吹.嗨起来～    虎牙小猛   1430
新手骆驼报道    傻傻的骆驼   1387
元歌 谁说中学生年纪轻就是坑    虎牙小烨   1370
新主播求关注，星耀以下血瓶帮上分    梦梦的小心肝   1350
闺蜜在睡觉，不能说话，请谅解    小沐儿姐姐   1331
李白新秀！    虎牙小翔   1296
体验游戏乐趣，愉悦健康人生    鈅初-鈤曜   1276
青岛最强中单    青岛最强中单   1272
帮粉丝上分    小宇宙悠悠   1252
，，，    兽獸獣   1247
欢迎来到陈大哥哥的直播间    陈大哥哥   1007
任何英雄都不会玩系列的直播间    Xzz丶圣冰   962
带妹子上分    虎牙冰禾   941
订阅带粉，滴滴滴    猪圈彭于晏   928
4000场钟馗    九叔林正英   882
忘忧    忘忧   852
日语/國/粵語直播♡国服嫦娥血瓶上车    虎牙牛奶   801
你的babygirl🦄🦄🦄    萌儿   744
全新小号升级之路，嚎嚎歌打打排位菜姬循环    我是一颗小虎牙   706
王者荣耀、祝大家新年快乐    小痞子的伤悲   700
新人主播求订阅    天晴   666
今天也是自闭的一天呀OvO    忧月   654
国服后裔    九阳   645
钻石局开搞    欧巴   599
国服周瑜    桐叁岁   576
国服周瑜    桐叁岁   576
有木有小伙伴一起上分鸭    你的小奶狗   560
菜鸡玩家 穷开心    、有鱼   510
榜一带粉上分！    EL-霸道   501
亮晶晶    妈妈   486
钻石局带粉玩咯    特仑苏   473
一天:国服后羿 赶紧上车啦    绝世的容颜   468
没睡的来玩呀    小姐姐   465
接受成长 也接受所有的不欢而散    睡睡   440
菜鸡貂蝉带球过人    特污兔   439
全能补位 带你秀翻全场    虎牙k战途   419
开始冲分啦！！    月初   418
王者归来，新手必玩英雄的带动全场！    虎牙无挂枪手   404
王者    虎牙裂黄   402
国服成吉思汗_带粉冲榜首    快乐的小狗子   400
白蔡:一波诸葛大秀，开启上分模式！    正恒丶白蔡   399
深夜带粉上分（掉分）    星点、小墨   397
小鲁班想冲荣耀！    港岛妹夫   392
隔壁老王在直播    德玛   383
午夜开播 边惩黑信 冲荣耀    三月初七   376
虎牙混分小鬼才    老山羊   373
小姐姐求带    黎慕仙女   371
不用刷礼物，聊聊天就好    大大love执念忆惜   367
冲国服水果忍者：快乐就完事了    傲辰-小刀灬   366
星耀单排局    万年辅助躺   362
帮小朋友戒网瘾    - Rain   354
免费带粉 订阅上车    虎牙小排   353
我自闭了    虎牙渣渣辉   341
欢迎来到叶子的直播间    叶子   337
订阅！带粉！进群后永久上车！    虎牙、狗蛋哥   335
牙牙在线带粉，订阅上车    牙齿晒太阳   333
专业秀赵云，我是新手    小强   329
肉装王昭君混分巨兽 上线    街市蜡无   328
新直播，请多关照。    焱哥秀李白   328
哈哈哈    多鱼   326
安卓区带粉卡牌子上车    勇恒-佩奇   323
混分    曐啊   323
平民玩家，很菜    慕白家丶波哥   323
来看    南征北战   321
王者荣耀，新手上路，多多关照。    斑马   318
王者    大鹏   316
s11赛季国服宫本打会王者局    我是一颗小虎牙   314
新手主播求订阅    鬼魂666   313
播到三点只打娱乐微信区    秋残   308
菜鸡灿哥王者    Come to an end   306
随缘直播😪    小仙女   303
虎牙撒谎前来报道    谎言   302
中路无敌    野钓-杰哥   302
新主播求关注    形單影只   300
中路扛霸子，只会嘤嘤嘤    落花天涯客   299
有大神带我么    虎牙TV丶浩爺   298
带粉上分，求订阅    FM丶黎白   297
玩韩信看北岛啊    北岛   296
1    钟情   296
为了最后一步，前面必须产生荣誉。    鹰丶   296
一道泥石流    虎牙-狼   295
全网独创辅助吕布50星虐菜    燃烧   295
高星局秀韩信单排    寂梦Hai   294
刺客鲁班了解一下    Proud   293
99.91百里守约    虎牙-萌新   291
单挑    小妞别跑   289
情话说给耳朵听，却让眼睛动了情💔    暖冬、一直爱吖   289
王者上星排位冲分    林焱💤💤💤💤💤💤💤   289
单排60    Piwi   289
天秀橘右京    JocKass   289
持续上分中    A🏠北三环～小宋租房   283
新人主播 不喜勿喷 欢迎来唠嗑    Js、二豆【久坑小桶妹】   279
心如止水    fk   276
单排45-50    水贝哥   272
😂    小涛   272
玩的不好，请见谅    TES-毁路   272
冲国服伽罗带粉上分    渔夫   271
各位大哥点点定阅    突突突   270
凭借自己高超的技术，我终于上铂金啦！    マイペース   269
晚十一点半后的快乐在这里    天堂浪   268
安静主播娱乐游戏    妤楠   268
黄金单排    我是一颗小虎牙   268
孤白    2097458316yy   268
王者    小浅   267
进来看看    虎牙tv陌殇   267
菜鸟狄仁杰爬坑之旅    Sam大叔   265
唠嗑聊天不为游戏    火山白雪   265
随缘打野＋中单，进来的我给你算一卦    疯狂的兔子🐰   264
娱乐而已    甜心葵   264
国服韩信请战    萌想   264
锡辰～小骚俊    虎牙❤小俊   264
我菜我任性    我是一颗小虎牙   263
菜鸡来了    安玛   263
乱玩能不能赢    镜花水月   263
无限单排    造化之瞳   263
来欣赏一下深夜的呼噜声^.^    妖妖灵   262
菜鸟晋升之路    汪温暖   262
随心！    虎牙小周   262
求订阅，订阅上车    孤狼   260
菜鸡互啄第3天    Loner   260
大哥们加微信    象铭记一生的   260
王者之路    依然   260
随便播一下    拔掉那颗小屿屿   260
今晚到三点    狐仙乄   260
玩游戏了😂    阿潮BESOS   259
后羿巅峰赛    十八岁的你   259
吃鸡王者，杀神风    虎牙TV不鸣则已   259
王者铂金    G－Dragon   258
国服打野免费带粉!    野区请别浪   257
🐔你太美～    有言   256
睡不着    坑人之身   256
50星排位赛单排    夏栀菀清   255
盘他    哥，略帅   255
亚瑟无限大宝剑    奥利给   254
微信带上分 铂金 钻石 星耀    斗魂   254
小豆子    小豆子   254
手残人士的日常操作    1963   254
虎牙第一玩鸟高手，云中君！！！    厦门宿心舍客栈   253
黄金    望仔   253
自己取    呵呵   252
四兽出征，寸草不生    四兽丶墨轩   251
2斤米酒后发来的百里守约不在低调    平凡之路   251
最强上段 钻石上荣耀王者    卡卡   250
小号连胜带粉上分    虎牙-野心   249
娱乐时间到    光头王   249
拉基王者游戏    魔蝎座   243
来欣赏一下深夜的呼噜声^.^    妖妖灵   243
好久没直播了玩下    我是一颗小虎牙   243
新人主播 不喜勿喷 欢迎来唠嗑    Js、二豆【久坑小桶妹】   242
王者局 单排 教你钟馗怎么玩    小5   242
被虐了！    孤独终老   241
打排20星    祥尹   241
武藏开播    武藏秒猴   241
排位    微凉徒眸   240
深夜上分，无偿带躺，只求开心。    Strong丨慕迪   239
小菜鸡上分记    我是一颗小虎牙   239
李白白不白    神话   238
新主播求订阅    叉叉   238
春风十里，不如有你。感觉可以帮忙点个订阅    枯木   236
大西瓜    那年茶微凉   236
新人菜头求订阅    精灵王   236
新主播，求订阅！    虎牙--二木   236
求1000赞    北有凉城   235
诸葛星耀局虐杀    很暖的小白   234
全能英雄单排上王者    巅峰60032蓝诱舞   234
新手上路，请多关照    长歌浪子   234
百里守约    博小妞   234
猴子暴力    绝不原谅   233
欢迎来到猪八戒的直播间    猪八戒   232
晚上了，都睡了吗？    缪烟   231
实力混分    撩人也要优雅   230
有一起的吗    逗比青年   230
千场刺客☞李白    newqq_my9kns7it   230
出发    狄大人   230
后裔上王者求订阅    小川哥哥帅   229
萧郎深夜摘星    萧郎   229
天秀操作，了解一下    专打咿呀怪   229
王者低星局    和尚   228
我辅助超暖哦，来的帮忙点个订阅，谢谢啦！    千落林   228
我很菜跟我一起玩吧？    伤痕   227
演員的自我修養    烂牙   227
极限射手教学，让你受益匪浅    无心   226
有小哥哥小姐姐一起玩吗，我是一名新主播    GFS、九天狐   226
初来乍到，请多关照    风小月   226
今天阴天了    阿金   226
新主播求关注    形單影只   226
最菜自闭主播    小傲娇   225
娱乐就好    越塔撩妹   225
浮生冲王者    萍水浮生空   225
一个人爱上小溪是因为没有见过大海    王者黑鱼   224
今晚上王者，不知道他同不同意    新之助的梦   224
欢迎观看    活得招摇   224
⑧    傻女   224
送你上王者    放你在心上   224
辽宁省前十孙悟空，请求出战！    想你时别闹海   224
上分上分    我是一颗小虎牙   223
王者局技术主播，求人气 求订阅    不凡且荣华   223
星耀局高速上分    你的一一啊   223
大哥们加微信    象铭记一生的   223
无事物铁桃    无名   222
王者主播高能时刻    王者荣耀精彩集锦   222
来了老弟    浪子啊龙   222
小号 微信订阅上车    男神颜值担当   222
黄金局    1940437897yy   221
全网独创辅助吕布50星虐菜    燃烧   221
睡不着撸起来，微信区有小伙伴陪同没    恋清风   221
中单法王武则天逆风局破天荒    独守伊人守空城   221
新晋主播，谢谢支持    凌默笙   220
x    newqq_4hk8o1nbg   220
辣鸡游戏    盖世垃圾   220
带粉    风骨   219
小播一会儿    虎牙直播小宇哥   219
周末休息，求订阅    萌萌哒可爱   219
小弟播王者 玩任意英雄    Jun Zz   219
各种躺，来个大腿带我上分    忆囚   218
🐖    -丽丽酱-   217
圣杯流诸葛亮    蓝色的忧伤   217
又菜又爱抢位置    903   217
槿苏直播间。承蒙关照    夏慕槿苏   216
虎牙菜鸟    我是一颗小虎牙   216
游戏直播    陌漓   216
新主播，求订阅    逆天狐   215
铂金三排来啊    夏独憶   215
菜鸟操作    寒霜   215
来吧    打不死的小强   215
天秀橘右京    JocKass   215
早    Name：陈少   214
90胜率李白鱼塘局······    观水同学   214
出不一样的装，吹不一样的牛。    龍电信小张   213
单排    今生今世   213
小虎弟虎牙场控机器人_欢迎答谢机器人    百度丶小虎弟场控   213
诸葛亮钓鱼愿者上钩，单排中    徐乄良   213
娱乐娱乐！谢谢关注    顺利金刚   212
骚狐狸    七颜   212
卑微射手在线蹲队友！    猫七   212
王者局最强打野，在线撩对面辅助小姐姐    juvenlle   211
从来没赢过    域外天魔   211
进来的帮忙点点订阅    小丁   211
真正的王者是团队    游戏人生   211
专打辅助哦，有打的兄弟加我    绯月桎梏   211
等风也等你，等一个订阅~    月白   211
73    太子   210
海之恋家用纺织品厂～阿里卖家来闹海    剑游天下   210
王者心态爆炸    92297205509yy   210
上帝视角，全能各种辅助。    虎牙、竞技   210
单排10星，躺上去的，信不？    单排凭超鬼本事   209
15197727285    亮亮   208
钻石恒久远，一颗永流传，永恒钻石局    玩游戏当饭吃   208
50星三排拿榜一    迷醉带你吃鸡   207
砖石。娱乐为主    心想事成   207
冲上王者，准备打打号    陌晓铭   207
高端局如何混分    我是一只喵   206
Ssumday的直播间    Ssumday   206
玩玩    ?????   206
欢迎来到 野区最帅的男人 的直播间    野区最帅的男人   206
黄金局    种花家丶弟弟『占山为王』   205
，q892547131    MR达   205
我的大锤贼6ヽ( ￣д￣;)ノ    涛哥直播号   204
无聊混分    GR乐清人   204
小小云中君    失心的鬼yy   204
我打的真的是王者局吗    捡破烂滴小熊   203
大叔全能的哈    AX   203
啊豪日记之日常操作😂    轩豪   203
简单单排秘诀上王者，适合意识差的学习    虎牙肯恩   203
直播守家    2121704780yy   202
有点醉了，喝滴！能不能带飞？    阿波罗   201
单排冲国服云中君    久帝-文豪   200
流浪，加班回来被反锁门无家可归    月光之妮妮妮   200
来来    虎牙直播小琦   199
新秀    深情不及久伴   199
新人 请多多关照    我是一颗小虎牙   199
单排上分吧    顺天   199
菜菜子    Hg-虚拟   198
久幕：周末欺负小朋友啦啦啦啦啦！！    虎牙久幕   197
单排玩一会    小五   197
单车变摩托    虎牙-谓之以一   197
午夜小剧场    波波拳   197
……    虎牙丶不巧   196
新主播求关注~娱乐逗你们开心    沐子   196
我竟然想不出标题    落叶随风   195
佛系主播，随缘上分    我是一颗小虎牙   195
很久没有直播啦    小辉   195
萌新主播只求订阅 谢谢！    海问香   194
情感电台，在线解忧    鹿儿-战为我鹿   194
菜鸟狄仁杰爬坑之旅    Sam大叔   194
微信王者局娱乐，关注带粉    柠檬味   194
我的心好疼，等着你来疼    丫头   193
连胜冲荣耀，全能带粉    虎牙TV波波   193
来直播了！    亡者荣耀   193
上王者    念而的容颜   193
随缘直播😪    小仙女   192
一言不合就是送    送人头宝宝   192
随心直播，不喜勿喷    约瑟   192
敢死就能赢    我是一颗小虎牙   191
我要上王者    龙哥   191
带粉    手游【无痕】   190
认真玩游戏    包子vivoe卍   190
新号百场怒冲王者！    神棍磔桑   190
王者，是我的情怀    冷若尘   190
日常混分    虚无缥缈   189
一起游戏不    小老虎-暗影   189
王者荣耀小姐姐在线带    小猪佩奇   188
老虎    曹文禄   188
和平    我是一颗小虎牙   188
阿珂😘😘    秋月   188
欢迎来到大头目直播间。    77   187
诸葛    虎牙孑然   186
观看时请自带BGM    稀里哗啦   186
带粉哦    空城   186
小号后羿-三天王者    慕希老公   186
平安京    杨盐   185
云中君冲国服    小杰   185
新把把超神起    木木   185
抢位置与爬坑    找到你了   185
甄姬爸会编框    手机YY新人   185
微信QQ带粉上车    我是一颗小虎牙   184
低端局    阿理   184
新主播求订阅    QW.清风   184
喜欢的可以点个订阅，一起玩    快凉   184
王者铂金    G－Dragon   183
我头铁 直播挂机月入百万    8kPapa   183
李白哥哥，打野    倾城。永恒之霸主   183
白炀    屮   183
找个队友一起上王者    王者砍霸   182
随便玩玩    混混   182
宇宙最强操作    MrHowe   182
主播第一天开播，不喜勿喷。    我心自丶云白山青   181
菜鸟打王者    小奶嘴、八戒   181
国服绑手猴子。无敌螺旋秀……    初醒   180
带粉 小号起飞    小亓   180
死亡排位    尐哥   180
上分超神    我是一颗小虎牙   179
进来点个关注啦～    孜默🐏   178
正在直播中. . . . . . . .    扇子   178
来呀！一起浪〰〰〰    墨羽、杰克   178
在线练云中君。    蔡少   178
深夜休闲场    小狐狸♡   178
2斤米酒后发来的百里守约不在低调    平凡之路   177
技术不行，不喜勿喷    5136   177
上分!    白白白   177
王者    雷子   176
掉分之旅从未结束    刘当时御用后补张飞   176
微信 来几个一起坑    阿凡   176
李白.    忆如梦丶   175
全能新星    狂浪生   175
玩    浩明   175
手机垃圾，技术垃圾，人也差不多    *ཌ࿅??࿅ད*   175
这货已经忘记干什么了    菜鸟殇   174
啦啦啦    灯火阑珊   174
.    笨蛋   173
李白单排上青铜    流星-剑弑丶   173
世界最菜主播没有之一    是顾青璃啊   172
保卫村长    村长   172
酒溜啊！    酒溜啊   172
哈哈哈哈    我是一颗老虎牙   172
云中君微信新人主播带妹狂魔订阅上车    王浩然呐   172
玩转各种位置冲王者    虎牙、无情   172
新人主播求罩    飞鱼   170
王者局全能补位    古铜色的皇国   170
国服最坑d(ŐдŐ๑)    A消失的烟花   169
打野，法师，射手，想看那个！    无味的喜欢   169
国服女娲 在线自闭    KT星辰丶月生   168
来了    星皇   168
虎牙老奶狗播着玩玩，让大家快乐是我的初衷    老奶狗   167
牙牙李白    虎牙-黎明   167
全网最骚、最拽宫本！    无情93   167
新手菜鸟上线，小心迷倒一片    大波浪   167
坑中的王者    我是一颗小虎牙   166
比心搜:惊喜i    神仙i   166
新主播刚开一秒求订阅    永安汽修中心   166
打别人号花里胡哨    橙子吖   166
豪    ღ 豪 ღ   163
单排吕布要努力躺赢哦    叫我懒杨杨   162
元歌该怎么玩？    那年花开时。💐   162
想我玩了加关注    huya冷蓏   161
嘻    丽水砍王   161
王者荣耀    只宠你个头就会分手   161
村服韩信三指学不会系列    玖欲   160
回归的菜鸡主播求人带    爱拍-热恋   159
又菜又爱玩    昊淼c   158
自闭全能王    无言   158
无敌黄忠后异    我是一颗小虎牙   157
大家一起娱乐    A --姜先生--   155
钓鱼    张伟   154
新手练英雄，多多指教，谢谢关注    左小涵。   154
大家一起娱乐    A --姜先生--   155
新手练英雄，多多指教，谢谢关注    左小涵。   154
钓鱼    张伟   154
新人直播 王者    撩妹30nian   154
在线寻找战友    ʚ我爱黎ɞ   154
关羽路人排位    寒烟   152
15-50星魔鬼单排    敖晨   151
第一次直播    独有的纪念   151
带飞    我是一颗小虎牙   151
我是王者资深老玩家，擅长于打野边路…    MMP   150
正在直播    有点帅的男人   150
全能王者，峡谷随意浪    辣浪七   150
你来看我会用心去打。    我是一颗小虎牙   149
…    是教主啊.   149
我们削宫本吧    KM   149
坑    我是一颗小虎牙   146
来坑了    通达显烹   145
无敌项羽开播    雷疯   145
虎牙看大仙张宏发，不慌吃口药    左青龙   144
每天22:30-02:00    毛某人的兰陵王   144
新号混分到荣耀    虎牙小不点   144
蒂花之秀    ❁´ 碎碎恋   143
有上车的吗    吃鸡达人   143
贼菜还想上分    己   143
?    郁呀   142
射手    我是橘子   141
没什么是一枪解决不了的，大不了再爆一枪    悟凡   141
王者荣耀    小付付   140
给媳妇上分    浮生   138
礼物把我带走    子翼   137
哦    初心   137
巅峰赛芈月不浪就稳    粤仔仔   136
打游戏不哇 一起坑的那种哦       135
武则天海洋之心小姐姐开黑中    萌娇少女安妮   135
单排射手上分    我是一颗小虎牙   135
单排上分中    没资格说   132
新人开播    二狗   131
阿西吧    1882108635yy   131
王者白龙    白龙   129
一个混到47星的菜鸟主播，专坑队友    深研金瓶梅   128
木兰单排上荣耀，关注发车    凌冬   128
睡不着 有一起玩的吗    挽墨   126
来来来开黑了    修行   125
好想秀一波    沐柠   125
暴躁小主播，在线被捶哭！快乐就完了。    神秘人   124
老司机开车，带我起飞！！！    逝年   122
虎牙叠风直播中，大家点点订阅    叠风   121
带粉带粉    浪仔   121
新人主播求关注    吸猫少年沈猪猪i   121
王者荣耀    爷霸占你的美   118
佛系玩家，随缘上分    荟族   118
零氪金打上钻石    冰圣云懂   117
222    本人是童顺云   116
吹王团丶小胖子    胖子   116
全能选手免费在线带粉    小祖宗   116
看队友秀操作    对面五怂母猪   112
点个订阅呗。    没糖的咖啡   112
低段位的百里守约，王者荣耀吃鸡    快下雨的微风   111
王者接d各种段位    千喜、默然   111
欢迎来到鋒的直播间    鋒   110
上车了    磊哥哥-   108
我很菜，进来不要笑我    盘龙   108
神秀    我是新秀   108
砖石星耀娱乐局 不需要礼物    💢幸福在哪里   106
国服第一坑，请把我填了    坑了一地   105
首次直播新手    花花公子   104
日常排位    邪龙星   104
真好    吃饭睡觉打悠悠   104
骚起来    超级22   104
一起坑人不喽！！！    迷人的张四四   103
新萌开播了!    浪子韩信   103
混子马克    我是一颗小虎牙   102
